武将,夏侯惇,吕蒙,法正,甄姬,孙策,关羽,姜维,袁术,于禁,小乔,曹操,孟获,魏延,庞统,祝融,凌统,张春华,贾诩,吕布,郭嘉,庞德,庞德,周瑜,周瑜,关羽,张辽,公孙瓒,貂蝉,高顺,黄忠,赵云,马超,典韦,徐盛,黄月英,貂蝉,贾诩,司马懿,关羽,马超,曹植,张飞,曹操,刘备,徐晃,吕蒙,周泰,甘宁,袁绍,陆逊,邓艾,孙坚,孙权,董卓,司马懿,孙尚香,孙尚香,许褚,诸葛亮,赵云,诸葛亮,吕布,张角,张角,徐庶,陈宫,大乔,夏侯渊,曹仁,太史慈,马谡,曹丕,张昭&张紘,吴国太,杨修,曹仁,荀彧,黄盖,华佗,颜良&文丑,蔡文姬,鲁肃,于吉,蔡文姬
曹操,0.500,0.583,0.333,0.333,0.250,0.417,0.583,0.333,0.333,0.667,,0.417,0.333,0.500,0.500,0.500,0.250,0.500,0.833,0.750,0.667,0.583,0.583,0.500,0.833,0.167,0.667,0.667,0.667,0.667,0.667,0.667,0.500,0.500,0.667,0.833,0.833,0.417,0.917,0.667,0.583,0.583,0.583,0.750,0.667,0.917,0.583,0.667,0.833,0.917,0.417,0.750,0.583,0.417,0.833,0.833,0.667,0.583,0.500,0.750,0.833,0.833,0.667,0.750,0.833,0.750,0.750,0.750,0.750,0.750,0.667,0.917,1.000,0.750,0.833,0.917,1.000,1.000,1.000,0.917,0.917,1.000,0.833,0.917
孟获,0.417,0.333,0.500,0.333,0.250,0.500,0.417,0.500,0.583,0.500,0.583,,0.417,0.667,0.417,0.333,0.500,0.333,0.333,0.333,0.417,0.667,0.833,0.667,0.833,0.417,0.583,0.417,0.417,0.583,0.667,0.500,0.667,0.667,0.417,0.667,0.417,0.667,0.667,0.500,0.583,0.667,0.583,0.500,0.750,0.667,0.583,0.750,0.667,0.750,0.750,0.833,0.667,0.917,0.750,0.833,0.750,0.833,0.667,0.750,0.667,0.667,0.750,0.917,1.000,0.750,1.000,0.833,0.750,0.917,0.917,0.750,0.833,0.750,0.833,0.833,0.917,1.000,0.917,0.917,0.833,1.000,0.833,1.000
魏延,0.250,0.333,0.750,0.500,0.333,0.333,0.083,0.333,0.583,0.583,0.667,0.583,,0.417,0.583,0.500,0.500,0.417,0.583,0.500,0.250,0.417,0.583,0.333,0.667,0.500,0.417,0.750,0.583,0.917,0.833,0.750,0.583,0.583,0.500,0.583,0.667,0.583,0.500,0.583,0.500,0.583,0.583,0.917,0.500,0.833,0.583,0.833,0.917,0.667,0.833,0.583,0.583,0.833,0.750,0.667,0.583,1.000,0.667,0.500,0.667,0.917,0.667,0.833,0.833,0.750,0.750,0.917,0.917,0.833,0.750,0.750,1.000,1.000,0.917,0.833,0.833,0.583,1.000,1.000,0.917,0.917,0.833,0.917
庞统,0.417,0.500,0.417,0.583,0.167,0.333,0.333,0.417,0.333,0.583,0.500,0.333,0.583,,0.500,0.583,0.333,0.583,0.667,0.250,0.583,0.750,0.750,0.667,0.500,0.583,0.667,0.417,0.500,0.667,0.583,0.667,0.917,0.500,0.583,0.417,0.583,0.750,0.500,0.417,0.750,0.667,0.667,0.667,0.583,0.417,0.333,0.750,0.833,0.667,0.750,0.750,0.750,0.750,0.833,0.417,0.750,0.833,0.833,0.667,0.833,1.000,0.583,1.000,0.833,0.583,0.750,1.000,0.833,0.833,0.750,0.917,0.917,0.833,0.833,0.667,0.583,1.000,0.833,0.917,1.000,0.833,1.000,1.000
祝融,0.417,0.333,0.250,0.500,0.500,0.250,0.500,0.750,0.667,0.500,0.500,0.583,0.417,0.500,,0.583,0.333,0.500,0.750,0.667,0.333,0.750,0.667,0.500,0.500,0.417,0.667,0.417,0.583,0.583,0.417,0.667,0.583,0.583,0.417,0.500,0.333,0.500,0.583,0.500,0.250,0.500,0.667,0.583,0.667,0.667,0.667,0.833,0.667,0.750,0.833,0.833,0.833,0.833,0.750,0.500,0.833,0.667,0.917,0.583,0.917,0.833,0.917,0.750,0.833,0.500,0.833,1.000,0.750,0.833,0.750,1.000,0.667,0.667,0.833,0.917,0.833,0.833,0.917,0.917,0.833,0.917,1.000,0.917
凌统,0.500,0.417,0.250,0.333,0.500,0.333,0.667,0.333,0.500,0.583,0.500,0.667,0.500,0.417,0.417,,0.667,0.583,0.750,0.417,0.500,0.667,0.500,0.583,0.417,0.833,0.417,0.500,0.500,0.667,0.750,0.500,0.333,0.667,0.417,0.417,0.583,0.583,0.750,0.583,0.583,0.667,0.417,0.417,0.500,0.667,0.750,0.500,0.667,0.667,0.917,0.667,0.833,0.583,0.833,0.750,0.583,0.583,0.833,0.917,0.750,0.833,0.917,0.750,1.000,0.750,0.833,0.667,0.750,0.667,0.750,0.833,0.833,0.917,0.833,0.917,0.917,0.667,0.917,0.917,0.750,0.917,1.000,1.000
张春华,0.583,0.500,0.167,0.583,0.000,0.583,0.583,0.333,0.250,0.833,0.750,0.500,0.500,0.667,0.667,0.333,,0.167,0.583,0.833,0.833,0.500,0.667,0.667,0.667,0.833,0.583,0.417,0.500,0.500,0.583,0.667,0.500,0.167,0.583,0.250,0.583,0.833,0.417,0.583,0.417,0.500,0.583,0.667,0.500,0.917,0.750,0.583,0.667,0.500,0.500,0.833,0.833,0.750,0.583,0.667,0.667,0.750,0.667,0.500,0.583,0.750,0.917,0.917,0.833,0.583,0.917,0.750,0.833,0.833,0.500,0.833,0.833,0.667,0.833,0.667,0.917,0.667,0.833,0.917,0.917,0.667,0.917,1.000
贾诩,0.250,0.500,0.333,0.417,0.333,0.167,0.500,0.250,0.583,0.333,0.500,0.667,0.583,0.417,0.500,0.417,0.833,,0.500,0.583,0.417,0.250,0.583,0.333,0.333,0.583,0.583,0.833,0.250,0.417,0.417,0.583,0.583,0.583,0.750,0.500,0.500,0.500,0.583,0.500,0.583,0.833,0.500,0.667,0.583,0.667,0.750,0.833,0.667,0.667,0.750,0.833,0.583,0.500,0.583,0.917,0.667,0.500,0.583,0.667,0.750,0.583,0.833,0.500,0.833,0.917,0.917,0.500,0.750,0.667,0.833,0.500,0.667,0.833,0.917,1.000,0.917,0.917,0.917,0.833,1.000,0.917,0.833,0.917
吕布,0.333,0.417,0.500,0.083,0.333,0.667,0.417,0.417,0.250,0.167,0.167,0.667,0.417,0.333,0.250,0.250,0.417,0.500,,0.417,0.417,0.583,0.333,0.417,0.333,0.667,0.583,0.583,0.583,0.667,0.750,0.417,0.750,0.500,0.417,0.500,0.917,0.333,0.417,0.500,0.750,0.750,0.667,0.583,0.500,0.833,0.750,0.917,0.667,0.667,0.333,0.833,0.667,0.833,0.667,0.583,0.750,0.667,0.750,0.583,0.583,0.833,0.667,0.750,0.667,1.000,0.750,0.833,0.750,0.583,0.917,0.917,0.917,0.583,0.667,0.750,0.917,0.917,1.000,0.917,0.833,0.917,1.000,0.917
郭嘉,0.500,0.333,0.167,0.250,0.250,0.417,0.333,0.500,0.250,0.417,0.250,0.667,0.500,0.750,0.333,0.583,0.167,0.417,0.583,,0.583,0.583,0.333,0.417,0.250,0.583,0.750,0.417,0.667,0.500,0.750,0.583,0.667,0.500,0.667,0.417,0.250,0.333,0.500,0.917,0.500,0.667,0.583,0.750,0.667,0.667,0.917,0.583,0.750,0.250,0.833,0.833,0.583,0.667,0.750,0.750,0.500,0.667,0.667,0.833,0.917,0.833,0.333,0.833,0.917,0.833,0.583,0.833,0.750,0.750,0.750,0.833,0.833,0.833,0.917,0.750,0.583,0.750,0.917,0.917,0.750,0.833,0.667,0.917
庞德,0.333,0.417,0.333,0.250,0.250,0.500,0.333,0.417,0.250,0.500,0.333,0.583,0.750,0.417,0.667,0.500,0.167,0.583,0.583,0.417,,0.583,0.500,0.417,0.583,0.583,0.583,0.417,0.250,0.250,0.583,0.583,0.583,0.667,0.500,0.583,0.417,0.667,0.667,0.500,0.417,0.500,0.583,0.417,0.750,0.833,0.500,0.583,0.667,0.583,0.833,0.667,0.667,0.750,0.667,0.583,0.500,0.500,0.833,0.667,0.750,0.583,0.750,0.500,0.667,0.833,0.667,0.833,0.750,0.833,0.833,0.833,0.667,0.667,0.750,0.833,1.000,0.833,0.917,1.000,0.917,0.833,0.917,0.917
庞德,0.083,0.333,0.333,0.250,0.417,0.250,0.583,0.500,0.083,0.583,0.417,0.333,0.583,0.250,0.250,0.333,0.500,0.750,0.417,0.417,0.417,,0.500,0.500,0.500,0.583,0.333,0.333,0.417,0.333,0.417,0.417,0.583,0.667,0.417,0.500,0.250,0.583,0.500,0.500,0.583,0.417,0.750,0.833,0.833,0.833,0.917,0.917,0.667,0.750,0.750,0.583,0.500,0.667,0.750,0.667,0.917,0.750,0.667,0.750,0.833,0.583,0.667,0.500,0.667,0.833,0.833,0.917,0.833,0.917,0.750,0.667,0.750,0.750,0.750,0.833,0.667,1.000,0.917,0.750,0.917,0.833,1.000,0.917
周瑜,0.250,0.167,0.000,0.583,0.333,0.417,0.333,0.083,0.417,0.250,0.417,0.167,0.417,0.250,0.333,0.500,0.333,0.417,0.667,0.667,0.500,0.500,,0.750,0.417,0.333,0.333,0.333,0.667,0.667,0.667,0.917,0.500,0.583,0.417,0.333,0.667,0.417,0.667,0.750,0.667,0.500,0.583,0.333,0.667,0.750,0.750,0.667,0.333,0.750,0.417,0.667,0.583,0.750,0.667,0.583,0.667,0.833,0.917,0.750,0.917,0.500,0.583,0.583,0.750,0.750,0.750,0.917,0.833,0.833,0.833,0.917,0.833,0.833,0.833,0.833,0.833,0.833,1.000,1.000,0.750,0.917,0.833,1.000
周瑜,0.083,0.333,0.333,0.333,0.583,0.500,0.583,0.583,0.500,0.250,0.500,0.333,0.667,0.333,0.500,0.417,0.333,0.667,0.583,0.583,0.583,0.500,0.250,,0.583,0.417,0.833,0.583,0.583,0.500,0.667,0.417,0.583,0.250,0.333,0.583,0.500,0.583,0.583,0.667,0.500,0.833,0.333,0.583,0.583,0.667,0.500,0.583,0.667,0.750,0.667,0.500,0.667,0.333,0.667,0.750,0.750,0.583,0.833,0.667,0.750,0.667,0.750,0.667,0.750,0.667,0.833,0.667,0.667,0.750,0.833,1.000,0.500,0.583,0.833,0.750,0.750,0.667,0.583,0.667,0.917,0.833,1.000,1.000
关羽,0.083,0.250,0.333,0.333,0.333,0.333,0.333,0.250,0.333,0.417,0.167,0.167,0.333,0.500,0.500,0.583,0.333,0.667,0.667,0.750,0.417,0.500,0.583,0.417,,0.500,0.833,0.333,0.750,0.583,0.500,0.583,0.417,0.250,0.500,0.500,0.167,0.583,0.667,0.417,0.583,0.417,0.500,0.500,0.667,0.667,0.750,0.833,0.583,0.417,0.583,0.583,0.750,0.750,0.750,0.750,0.750,0.417,0.833,0.667,0.417,0.583,0.833,0.833,0.750,0.833,0.750,0.667,0.833,0.833,0.917,0.833,0.750,0.750,0.917,0.917,0.667,1.000,0.667,0.833,1.000,0.917,0.917,1.000
张辽,0.333,0.500,0.333,0.417,0.250,0.167,0.500,0.250,0.417,0.500,0.833,0.583,0.500,0.417,0.583,0.167,0.167,0.417,0.333,0.417,0.417,0.417,0.667,0.583,0.500,,0.583,0.333,0.583,0.250,0.417,0.583,0.417,0.500,0.583,0.250,0.500,0.583,0.583,0.250,0.583,0.500,0.333,0.667,0.333,0.750,0.500,0.833,0.833,0.417,0.750,0.583,0.500,0.750,0.667,0.667,0.583,0.583,0.833,0.667,0.333,0.917,0.750,0.833,1.000,0.750,1.000,0.833,0.667,0.917,0.583,0.833,0.750,0.750,0.833,0.833,0.833,0.750,1.000,0.917,1.000,0.667,1.000,1.000
公孙瓒,0.333,0.333,0.417,0.250,0.250,0.417,0.417,0.500,0.417,0.333,0.333,0.417,0.583,0.333,0.333,0.583,0.417,0.417,0.417,0.250,0.417,0.667,0.667,0.167,0.167,0.417,,0.500,0.500,0.583,0.500,0.667,0.667,0.417,0.583,0.333,0.417,0.333,0.250,0.583,0.500,0.500,0.750,0.583,0.583,0.833,0.833,0.500,0.583,0.583,0.583,0.667,0.750,0.750,0.583,0.750,0.583,0.833,0.333,0.750,0.500,0.750,0.833,0.750,0.917,0.750,0.833,1.000,0.833,0.750,0.833,0.833,0.917,0.833,0.917,0.750,0.917,0.750,0.917,1.000,0.833,0.667,0.833,0.833
貂蝉,0.500,0.417,0.417,0.250,0.333,0.500,0.583,0.500,0.333,0.417,0.333,0.583,0.250,0.583,0.583,0.500,0.583,0.167,0.417,0.583,0.583,0.667,0.667,0.417,0.667,0.667,0.500,,0.333,0.583,0.333,0.500,0.167,0.667,0.583,0.583,0.500,0.417,0.417,0.583,0.417,0.667,0.750,0.667,0.583,0.417,0.667,0.750,0.583,0.750,0.583,0.583,0.667,0.667,0.417,0.417,0.333,0.417,0.583,0.500,0.667,0.583,0.833,0.667,0.833,0.917,0.667,0.583,0.750,1.000,0.917,0.417,0.667,0.667,0.750,1.000,0.583,1.000,0.917,0.917,0.750,1.000,0.917,0.917
高顺,0.083,0.250,0.333,0.500,0.667,0.583,0.250,0.417,0.417,0.750,0.333,0.583,0.417,0.500,0.417,0.500,0.500,0.750,0.417,0.333,0.750,0.583,0.333,0.417,0.250,0.417,0.500,0.667,,0.417,0.500,0.583,0.500,0.500,0.250,0.667,0.417,0.583,0.417,0.833,0.583,0.417,0.583,0.500,0.500,0.500,0.417,0.417,0.500,0.417,0.583,0.417,0.667,0.500,0.750,0.667,0.833,0.583,0.667,0.750,0.583,0.750,0.833,0.917,0.750,0.917,0.833,0.750,0.750,0.583,0.750,0.750,0.833,0.750,0.750,0.833,0.583,0.667,0.833,0.750,0.917,0.917,0.917,0.917
黄忠,0.333,0.333,0.417,0.500,0.500,0.583,0.167,0.333,0.500,0.333,0.333,0.417,0.083,0.333,0.417,0.333,0.500,0.583,0.333,0.500,0.750,0.667,0.333,0.500,0.417,0.750,0.417,0.417,0.583,,0.500,0.500,0.417,0.583,0.500,0.583,0.417,0.083,0.417,0.500,0.500,0.667,0.667,0.500,0.500,0.500,0.750,0.583,0.667,0.750,0.667,0.917,0.583,0.417,0.667,0.667,0.333,0.917,0.583,0.833,0.667,0.333,0.917,0.750,0.833,0.833,0.833,0.667,0.750,0.833,0.667,0.750,0.667,0.917,0.583,0.750,0.833,0.833,0.833,1.000,0.917,0.917,0.833,0.750
赵云,0.333,0.250,0.250,0.250,0.333,0.250,0.333,0.500,0.333,0.500,0.333,0.333,0.167,0.417,0.583,0.250,0.417,0.583,0.250,0.250,0.417,0.583,0.333,0.333,0.500,0.583,0.500,0.667,0.500,0.500,,0.250,0.333,0.833,0.167,0.667,0.583,0.333,0.333,0.417,0.750,0.833,0.833,0.500,0.917,0.500,0.667,0.583,0.750,0.833,0.583,0.667,0.917,0.750,0.500,0.667,0.833,0.833,0.583,0.500,0.833,0.583,0.583,0.583,0.750,0.917,0.833,0.667,0.917,0.500,0.750,0.750,0.583,0.667,0.917,0.667,0.750,0.833,0.917,1.000,0.750,0.917,0.917,1.000
马超,0.250,0.250,0.250,0.250,0.333,0.167,0.250,0.250,0.250,0.417,0.333,0.500,0.250,0.333,0.333,0.500,0.333,0.417,0.583,0.417,0.417,0.583,0.083,0.583,0.417,0.417,0.333,0.500,0.417,0.500,0.750,,0.417,0.583,0.750,0.417,0.500,0.333,0.500,0.750,0.500,0.583,0.917,0.667,0.750,0.667,0.667,0.583,0.583,0.417,0.500,0.667,0.833,0.750,0.583,0.667,0.917,0.667,0.417,0.750,0.833,0.667,0.833,0.667,0.667,0.833,0.917,0.750,0.667,0.500,0.917,0.583,0.917,0.917,0.833,0.917,0.667,0.583,1.000,0.833,0.917,0.917,1.000,1.000
典韦,0.083,0.167,0.083,0.333,0.417,0.500,0.417,0.417,0.333,0.167,0.500,0.333,0.417,0.083,0.417,0.667,0.500,0.417,0.250,0.333,0.417,0.417,0.500,0.417,0.583,0.583,0.333,0.833,0.500,0.583,0.667,0.583,,0.500,0.500,0.583,0.500,0.250,0.667,0.417,0.750,0.583,0.667,0.917,0.250,0.667,0.500,0.917,0.833,0.833,0.583,0.667,0.667,0.417,0.667,0.750,0.750,0.667,0.417,0.750,0.667,0.333,0.667,0.667,0.750,0.500,0.667,0.667,0.833,0.833,0.917,1.000,0.833,0.917,0.833,0.667,0.833,0.917,0.750,0.750,1.000,0.917,0.750,0.750
徐盛,0.333,0.333,0.417,0.333,0.333,0.250,0.583,0.250,0.167,0.250,0.500,0.333,0.417,0.500,0.417,0.333,0.833,0.417,0.500,0.500,0.333,0.333,0.417,0.750,0.750,0.500,0.583,0.333,0.500,0.417,0.167,0.417,0.500,,0.500,0.417,0.667,0.500,0.583,0.500,0.500,0.417,0.167,0.667,0.250,0.583,0.750,0.500,0.583,0.750,0.583,0.500,0.583,0.833,0.917,0.667,0.667,0.583,0.917,0.417,0.750,0.500,0.500,0.917,0.917,0.833,0.917,0.750,0.583,0.750,0.750,0.667,0.750,0.667,0.917,0.750,0.833,0.750,1.000,1.000,0.917,1.000,0.917,1.000
黄月英,0.417,0.250,0.333,0.167,0.500,0.250,0.417,0.500,0.250,0.417,0.333,0.583,0.500,0.417,0.583,0.583,0.417,0.250,0.583,0.333,0.500,0.583,0.583,0.667,0.500,0.417,0.417,0.417,0.750,0.500,0.833,0.250,0.500,0.500,,0.667,0.500,0.417,0.250,0.500,0.333,0.667,0.667,0.583,0.583,0.250,0.583,0.667,0.417,0.583,0.750,0.667,0.833,0.333,0.750,0.417,0.750,0.583,0.667,0.917,0.667,0.500,0.833,0.917,0.833,0.667,0.750,0.667,0.917,0.750,0.833,0.500,0.833,0.583,0.667,0.917,0.750,0.750,1.000,0.583,1.000,0.833,0.833,0.750
貂蝉,0.417,0.333,0.500,0.333,0.417,0.500,0.333,0.333,0.583,0.333,0.167,0.333,0.417,0.583,0.500,0.583,0.750,0.500,0.500,0.583,0.417,0.500,0.667,0.417,0.500,0.750,0.667,0.417,0.333,0.417,0.333,0.583,0.417,0.583,0.333,,0.667,0.500,0.417,0.667,0.500,0.500,0.500,0.583,0.667,0.417,0.750,0.500,0.500,0.667,0.333,0.583,0.833,0.667,0.583,0.417,0.500,0.500,0.583,0.667,0.583,0.750,0.583,0.250,0.750,0.833,0.750,0.500,0.750,0.833,0.833,0.583,0.667,0.833,0.833,0.833,0.833,0.833,1.000,0.833,0.917,1.000,0.750,1.000
贾诩,0.333,0.167,0.333,0.250,0.583,0.500,0.250,0.417,0.417,0.250,0.167,0.583,0.333,0.417,0.667,0.417,0.417,0.500,0.083,0.750,0.583,0.750,0.333,0.500,0.833,0.500,0.583,0.500,0.583,0.583,0.417,0.500,0.500,0.333,0.500,0.333,,0.583,0.417,0.667,0.250,0.500,0.583,0.333,0.833,0.333,0.333,0.583,0.583,0.667,0.667,0.833,0.667,0.583,0.583,0.750,0.667,0.750,0.500,0.500,0.833,0.833,0.750,0.833,0.833,0.833,0.667,0.417,0.750,0.917,0.500,0.750,0.750,0.667,0.667,0.917,0.917,0.833,0.667,1.000,0.750,1.000,0.917,0.750
司马懿,0.250,0.250,0.417,0.417,0.417,0.333,0.500,0.250,0.417,0.250,0.583,0.333,0.417,0.250,0.500,0.417,0.167,0.500,0.667,0.667,0.333,0.417,0.583,0.417,0.417,0.417,0.667,0.583,0.417,0.917,0.667,0.667,0.750,0.500,0.583,0.500,0.417,,0.833,0.583,0.500,0.667,0.667,0.583,0.500,0.250,0.583,0.333,0.583,0.500,0.583,0.500,0.417,0.750,0.583,0.667,0.583,0.333,0.750,0.667,0.667,0.833,0.833,0.750,1.000,0.667,0.833,0.667,0.750,0.583,0.667,0.750,0.750,0.917,0.750,0.667,0.583,0.750,0.750,0.833,0.833,1.000,0.750,0.750
关羽,0.167,0.250,0.333,0.417,0.333,0.500,0.417,0.417,0.500,0.667,0.083,0.333,0.500,0.500,0.417,0.250,0.583,0.417,0.583,0.500,0.333,0.500,0.333,0.417,0.333,0.417,0.750,0.583,0.583,0.583,0.667,0.500,0.333,0.417,0.750,0.583,0.583,0.167,,0.417,0.667,0.500,0.667,0.500,0.583,0.583,0.417,0.750,0.833,0.667,0.583,0.500,0.417,0.500,0.583,0.750,0.667,0.500,0.583,0.583,0.750,0.583,0.667,0.583,0.750,0.833,0.667,0.750,0.750,0.500,0.833,0.667,0.667,0.667,0.750,0.750,0.750,0.833,0.833,1.000,0.917,1.000,0.917,0.833
